feature,importance
avg_start_time,748
day_1_14_bef_start_time_max,481
day_1_14_bef_start_time_std,432
day_1_7_bef_start_time_min,431
day_1_7_bef_start_time_max,418
day_1_7_bef_start_time_std,414
day1_14ago_endrt_by_folder_std,410
by_folder_unfd_rt_pred,407
day_1_14_bef_start_time_min,393
day1_7ago_endrt_by_folder_std,371
day1_14ago_endrt_byfolder_sub_max,350
day1_7ago_endrt_byfolder_sub_median,304
day_1_7_bef_start_time_median,302
day_1_14_bef_start_time_median,297
day1_14ago_endrt_byfolder_sub_median,295
day1_7ago_endrt_byfolder_sub_max,293
day_1_7_bef_end_time_min,290
day_0_bef_endrt_by_folder,290
day1_7ago_endrt_byfolder_sub_min,288
day1_7ago_endrt_byfolder_sub_mean,264
day1_14ago_endrt_byfolder_sub_min,260
day_1_14_bef_end_time_max,254
day_1_14_bef_end_time_median,251
avg_runtime,247
day_1_14_bef_end_time_min,245
day_1_14_bef_start_time_mean,237
by_jobhead_unfd_rt_pred,232
day_1_7_bef_end_time_max,219
day_1_7_bef_end_time_std,219
day_1_7_bef_end_time_median,214
day1_14ago_endrt_byfolder_sub_mean,213
day1_14ago_endrt_by_prefix_std,179
day_1_14_bef_end_time_mean,173
day_1_14_bef_end_time_std,172
day1_7ago_endrt_byprefix_sub_min,172
day1_7ago_endrt_by_prefix_std,157
day_1_7_bef_start_time_mean,155
day1_14ago_endrt_byprefix_sub_min,147
by_nodegroup_unfd_rt_pred,133
day_1_7_bef_end_time_mean,132
day1_7ago_endrt_byprefix_sub_max,123
day1_7ago_endrt_by_node_std,118
day1_14ago_endrt_byprefix_sub_mean,116
day1_14ago_endrt_byprefix_sub_median,116
day1_7ago_endrt_byprefix_sub_mean,115
all_count,114
day1_7ago_endrt_byprefix_sub_median,106
day_0_bef_endrt_by_prefix,103
td_ord__count,102
day1_14ago_endrt_bynode_sub_min,101
new_value_2048,99
day1_7ago_endrt_bynode_sub_max,95
day1_14ago_endrt_byprefix_sub_max,94
day_0_bef_endrt_by_pri,81
day1_14ago_endrt_by_node_std,80
day1_7ago_endrt_bynode_sub_min,78
FW_TB_finsih0_4_count,72
start_time_00_rate,70
day1_14ago_endrt_bynode_sub_max,70
new_value_4,69
RT_RST_finsih0_4_count,65
day1_14ago_endrt_bynode_sub_median,62
day_0_bef_endrt_by_node,61
day1_7ago_endrt_bypri_sub_max,59
2,56
day1_14ago_endrt_bypri_sub_max,56
day1_14ago_endrt_bypri_sub_min,55
day1_7ago_endrt_by_pri_std,55
old_1_SYS_FS,52
day1_14ago_endrt_bypri_sub_mean,52
day1_14ago_endrt_by_pri_std,51
tdo_n_16_1,49
day1_7ago_endrt_bypri_sub_min,49
EX_P_finsih0_4_count,49
HEES_ETL1_finsih0_4_count,48
o_n_1_8,46
day1_14ago_endrt_bypri_sub_median,46
day1_7ago_endrt_bypri_sub_median,45
EX_T_finsih0_4_count,45
day1_7ago_endrt_bynode_sub_median,44
day1_14ago_endrt_bynode_sub_mean,43
day1_7ago_endrt_bypri_sub_mean,42
TS_HOSM_finsih0_4_count,41
tdnew_32,40
old_32_EX_T,40
start_time_03_rate,39
tdnew_1,38
old_1_RU_P,35
BRTL_C_finsih0_4_count,35
old_32_FW_TS,33
start_time_01_rate,33
EXZ_A_finsih0_4_count,33
old_2048_TS_HEES,32
day1_7ago_endrt_bynode_sub_mean,32
old_32_FW_LD,32
new_value_1,31
old_1_EX_A,31
o_n_16_1,30
start_time_02_rate,30
old_2048_SYS_FS,30
old_4_RU_HCDC,29
old_32_SYS_FS,29
new_1,29
subo_n_2_1,28
RF,27
new_4,27
otherhead,27
subo_n_1_8,27
tdo_n_1_8,26
old_1_RU_HCDC,26
old_32_EX_P,26
old_32_LD_TDW,26
old_4_TS_HEES,26
old_1_FW_LD,25
old_1_FW_TB,24
avg_start_error,24
new_value_32,24
subnew_16,24
BCOR_P_finsih0_4_count,24
subo_n_16_1,23
o_n_1_2048,23
old_4_TB_A,23
EXZ,23
new_2048,23
old_4_RU_P,23
old_1_EXZ_T,23
old_2048_BRTL_C,23
old_4_EXZ_P,23
old_32_EL_DXP,23
BRTL_P_finsih0_4_count,22
old_1_RF_RST,22
3,22
old_4_FW_TS,22
subo_n_2048_4,22
EX_A_finsih0_4_count,22
old_8_SYS_FS,22
EXZ_P_finsih0_4_count,21
ja,21
perl,21
old_2048_EL_DXP,21
old_4_EX_T,20
subnew_2048,20
STG_C_finsih0_4_count,20
end_at_nextday_count,20
old_1_EXZ_A,19
old_1_FW_TS,19
old_32_FW_TB,19
EXQ_P_finsih0_4_count,19
PDM_F_finsih0_4_count,18
new_1_PDM_P,18
TS_HEES_finsih0_4_count,18
LD,18
weekday_1,18
PDM_C_finsih0_4_count,17
old_1_RT_RST,17
old_8_TB_A,17
GRP_DS_AGENT,17
start_time_03sum_rate,17
is_weekday,16
old_32_STG_V,16
weekday_3,16
FW_LD_finsih0_4_count,16
old_4_EXZ_A,16
STG_V_finsih0_4_count,16
RF_RST_finsih0_4_count,16
new_4_RF_RST,15
NDS_P_finsih0_4_count,15
old_1_EXZ_P,15
new_value_8,15
old_value_4,15
old_2048_PDM_F,15
old_8_EX_P,15
o_n_2048_8,15
1,14
old_4_EXZ_T,14
TRM_HCXI_finsih0_4_count,14
old_1_EX_P,14
new_1_STG_C,14
old_4_FW_TB,14
tdo_n_1_2048,13
old_1_EL_DXP,13
Command,13
cyclic,13
sa,13
PDM,13
old_1_STG_V,13
o_n_2048_4,12
old_2_FW_LD,12
EXZ_T_finsih0_4_count,12
tdo_n_2048_8,12
old_4_EX_P,12
old_4_FW_LD,12
weekday_2,12
old_2048_EXM_T,11
GRP_DB_AGENT,11
new_16_RU_P,11
old_2048_EXM_P,11
EXM_P_finsih0_4_count,11
old_value_2048,10
EXM_T_finsih0_4_count,10
weekday_6,10
NDS_C_finsih0_4_count,10
weekday_4,10
new_32,10
99,10
tdo_n_1_4,10
subo_n_4_2048,10
old_4_EX_A,10
old_2048_NDS_P,10
subo_n_1_4,10
old_2048_EXZ_T,9
tdnew_2048,9
old_2048_PDM_P,9
BRTL,9
new_16,9
old_2048_EXM_A,9
new_16_FW_LD,8
old_1_TB_A,8
old_2048_STG_C,8
old_2048_LD_TDW,8
old_2048_EX_T,8
new_1_SYS_FS,8
old_4_EXM_T,8
old_1_EX_T,8
RT,8
LD_TDW_finsih0_4_count,8
AA,8
FW,8
tdo_n_4_8,8
o_n_2_1,8
sh,8
TS,8
PDM_P_finsih0_4_count,8
old_2048_RT_RST,7
new_32_NDS_P,7
new_1_FW_LD,7
subnew_4,7
TR,7
new_1_EX_P,7
old_value_1,7
old_2048_PDM_C,7
new_2048_BRTL_C,7
HS,7
o_n_1_4,7
old_value_32,7
TR_HCXI_finsih0_4_count,6
old_8_STG_V,6
old_4_EXM_P,6
new_4_RT_RST,6
new_2048_PDM_C,6
o_n_4_8,6
tdnew_4,6
old_2048_TB_A,6
old_8_RU_HCDC,6
old_1_NDS_P,6
new_32_STG_V,6
old_1_EXM_P,6
old_16_RT_RST,6
old_2048_EXZ_P,6
SYS_FW_finsih0_4_count,6
FW_TS_finsih0_4_count,6
TRZ_HCXI_finsih0_4_count,6
old_4_LD_TDW,6
new_2048_PDM_F,5
old_8_FW_TB,5
new_2048_STG_C,5
old_2048_STG_V,5
old_16_EL_DXP,5
old_32_NDS_P,5
SYS,5
subnew_1,5
new_16_STG_V,5
